box,row,label
1,1,1.2.E1
1,1,1.5.F6
1,1,1.7.B5
1,1,1.1.C3
1,1,1.14.D2
1,1,1.3.B6
1,1,1.13.E5
1,1,1.7.F7
1,1,1.1.G6
1,1,1.10.H1
1,1,1.3.B4
1,1,1.4.F4
1,1,1.10.H6
1,1,1.12.A4
1,1,1.5.F2
1,1,1.4.F5
1,1,1.14.C1
1,1,1.10.C5
1,1,1.13.C1
1,1,1.2.G2
1,1,1.5.G4
1,1,1.3.F3
1,1,1.5.A2
1,1,1.1.G5
1,1,1.3.D5
1,1,1.7.D3
1,1,1.3.C2
1,1,1.1.D2
1,1,1.7.E1
1,1,1.11.E4
1,1,1.5.H3
1,1,1.7.F4
1,1,1.13.D1
1,1,1.13.A5
1,1,1.6.B5
1,1,1.7.D3
1,1,1.1.C2
1,1,1.13.H4
1,1,1.11.D4
1,1,1.13.D4
1,1,1.6.H4
1,1,1.13.A3
1,1,1.8.B5
1,1,1.2.H5
1,1,1.2.G4
1,1,1.7.E2
1,1,1.11.E3
1,1,1.11.D5
1,1,1.4.G4
1,1,1.7.H5
1,1,1.1.D4
1,1,1.9.D5
1,1,1.3.D3
1,1,1.10.A4
1,1,1.3.B5
1,1,1.9.D2
1,1,1.1.F4
1,1,1.12.C3
1,1,1.1.C5
1,1,1.12.H1
1,1,1.8.B3
1,1,1.12.E3
1,1,1.1.F5
1,1,1.7.D6
1,1,1.5.H4
1,1,1.1.F1
1,1,1.4.B6
1,1,1.9.E5
1,1,1.13.A2
1,1,1.4.E5
1,1,1.6.A1
1,1,1.8.D1
1,1,1.12.C4
1,1,1.1.B1
1,1,1.14.A1
1,1,1.12.E4
1,1,1.3.E5
1,1,1.12.H5
1,1,1.5.E4
1,1,1.9.A4
1,1,1.8.H3
1,1,1.6.A6
1,1,1.3.B2
1,1,1.13.G2
1,1,1.7.E2
1,1,1.12.F3
1,1,1.11.D2
1,1,1.4.G6
1,1,1.7.F5
1,1,1.2.E4
1,1,1.8.H2
1,1,1.10.H3
1,1,1.8.C2
1,2,1.6.A5
1,2,1.4.C2
1,2,1.10.G3
1,2,1.7.A1
1,2,1.11.A2
1,2,1.10.E4
1,2,1.5.A6
1,2,1.2.A5
1,2,1.12.A2
1,2,1.8.E2
1,2,1.4.E6
1,2,1.8.G1
1,2,1.9.D6
1,2,1.9.H4
1,2,1.11.G2
1,2,1.14.E3
1,2,1.1.B6
1,2,1.3.D4
1,2,1.10.E6
1,2,1.2.D4
1,2,1.13.G4
1,2,1.9.E1
1,2,1.4.D4
1,2,1.10.C2
1,2,1.2.E3
1,2,1.1.H4
1,2,1.14.E2
1,2,1.10.B4
1,2,1.2.H1
1,2,1.11.D1
1,2,1.9.B1
1,2,1.3.H3
1,2,1.9.F2
1,2,1.9.B4
1,2,1.6.C3
1,2,1.3.D2
1,2,1.9.C3
1,2,1.14.H2
1,2,1.4.H4
1,2,1.1.A3
1,2,1.3.G6
1,2,1.7.C1
1,2,1.11.F5
1,2,1.3.E4
1,2,1.3.G4
1,2,1.12.H3
1,2,1.8.E4
1,2,1.4.F2
1,2,1.12.C6
1,2,1.6.D5
1,2,1.6.C4
1,2,1.2.F1
1,2,1.7.E3
1,2,1.9.C4
1,2,1.1.H2
1,2,1.12.E6
1,2,1.7.G5
1,2,1.13.E4
1,2,1.9.A5
1,2,1.10.D2
1,2,1.12.G2
1,2,1.1.D6
1,2,1.6.A2
1,2,1.3.A1
1,2,1.1.E4
1,2,1.1.A5
1,2,1.11.B3
1,2,1.10.B1
1,2,1.1.E3
1,2,1.3.D6
1,2,1.5.F1
1,2,1.2.B5
1,2,1.5.E5
1,2,1.8.F1
1,2,1.8.C3
1,2,1.8.F3
1,2,1.11.G1
1,2,1.4.B1
1,2,1.1.C4
1,2,1.6.G1
1,2,1.7.G3
1,2,1.6.A4
1,2,1.11.D6
1,2,1.5.B5
1,2,1.7.A4
1,3,1.8.B2
1,3,1.4.D5
1,3,1.6.H5
1,3,1.2.F2
1,3,1.11.C1
1,3,1.14.B3
1,3,1.5.A1
1,3,1.6.C5
1,3,1.3.E6
1,3,1.7.B4
1,3,1.12.D1
1,3,1.9.F5
1,3,1.7.D4
1,3,1.10.B3
1,3,1.3.A2
1,3,1.2.G6
1,3,1.6.G6
1,3,1.12.D4
1,3,1.12.D5
1,3,1.8.D2
1,3,1.6.E2
1,3,1.8.A5
1,3,1.5.A3
1,3,1.13.D2
1,3,1.1.B4
1,3,1.7.C4
1,3,1.12.H6
1,3,1.9.H2
1,3,1.12.A3
1,3,1.12.G3
1,3,1.14.E1
1,3,1.11.E5
1,3,1.2.H6
1,3,1.5.A5
1,3,1.5.H5
1,3,1.2.F5
1,3,1.9.D3
1,3,1.5.D6
1,3,1.12.G6
1,3,1.5.G3
1,3,1.5.B2
1,3,1.14.C3
1,3,1.8.G2
1,3,1.5.F4
1,3,1.2.B1
1,3,1.13.F1
1,3,1.7.D5
1,3,1.13.H6
1,3,1.12.F6
1,3,1.2.E2
1,3,1.1.D3
1,3,1.8.G4
1,3,1.11.A1
1,3,1.5.E6
1,3,1.8.H5
1,3,1.10.B2
1,3,1.5.C2
1,3,1.1.G6
1,3,1.8.D6
1,3,1.5.E2
1,3,1.3.G1
1,3,1.1.C1
1,3,1.11.H4
1,3,1.9.F1
1,3,1.5.C3
1,3,1.3.C1
1,3,1.11.E2
1,3,1.2.G1
1,3,1.4.B3
1,3,1.2.F4
1,3,1.7.C6
1,3,1.9.G1
1,3,1.12.A1
1,3,1.1.H5
1,3,1.13.B5
1,3,1.6.H6
1,3,1.7.C3
1,3,1.12.G5
1,3,1.10.C6
1,3,1.7.G2
1,3,1.12.D6
1,3,1.1.H3
1,3,1.7.E5
1,3,1.4.H2
1,3,1.10.G6
1,3,1.11.E6
1,3,1.12.E5
1,3,1.7.A5
1,3,1.3.H5
1,3,1.9.B2
1,3,1.8.B1
1,3,1.12.B1
1,3,1.6.H2
1,3,1.2.C3
1,4,1.9.E2
1,4,1.1.D1
1,4,1.9.A1
1,4,1.11.H2
1,4,1.12.B4
1,4,1.4.C1
1,4,1.5.G1
1,4,1.1.G1
1,4,1.5.B4
1,4,1.9.E6
1,4,1.5.G6
1,4,1.6.B6
1,4,1.3.F1
1,4,1.5.B6
1,4,1.8.G5
1,4,1.9.H5
1,4,1.8.D5
1,4,1.14.F3
1,4,1.4.F6
1,4,1.5.G2
1,4,1.12.A6
1,4,1.3.E2
1,4,1.7.H1
1,4,1.4.B5
1,4,1.8.E1
1,4,1.10.G2
1,4,1.11.F3
1,4,1.4.A6
1,4,1.4.A2
1,4,1.8.A4
1,4,1.4.A1
1,4,1.13.H5
1,4,1.1.C6
1,4,1.8.A6
1,4,1.11.F6
1,4,1.2.C5
1,4,1.5.F3
1,4,1.9.G5
1,4,1.4.C4
1,4,1.6.F1
1,4,1.7.H3
1,4,1.8.D4
1,4,1.6.D2
1,4,1.6.D4
1,4,1.3.G2
1,4,1.11.G4
1,4,1.2.A2
1,4,1.2.G5
1,4,1.12.F4
1,4,1.11.C6
1,4,1.11.B1
1,4,1.12.D3
1,4,1.4.C3
1,4,1.6.E6
1,4,1.1.B3
1,4,1.8.G6
1,4,1.13.D5
1,4,1.9.C6
1,4,1.4.E3
1,4,1.13.B3
1,4,1.3.E3
1,4,1.7.F3
1,4,1.1.F2
1,4,1.7.A6
1,4,1.10.A5
1,4,1.3.A5
1,4,1.2.D2
1,4,1.7.C2
1,4,1.14.D3
1,4,1.11.B6
1,4,1.2.E6
1,4,1.6.B1
1,4,1.10.F6
1,4,1.8.E5
1,4,1.2.D6
1,4,1.7.A2
1,4,1.10.C1
1,4,1.2.F6
1,4,1.14.F1
1,4,1.7.E4
1,4,1.5.D2
1,4,1.9.C1
1,4,1.11.B4
1,4,1.14.B1
1,4,1.9.H3
1,4,1.5.C1
1,4,1.3.G5
1,4,1.2.B4
2,1,1.2.F3
2,1,1.3.C3
2,1,1.6.F6
2,1,1.14.C2
2,1,1.13.E2
2,1,1.12.A5
2,1,1.6.G2
2,1,1.7.C5
2,1,1.4.G5
2,1,1.10.C4
2,1,1.1.F6
2,1,1.11.G5
2,1,1.7.B3
2,1,1.6.C1
2,1,1.8.F5
2,1,1.1.H6
2,1,1.4.G2
2,1,1.10.F3
2,1,1.10.A2
2,1,1.2.C4
2,1,1.9.G6
2,1,1.9.H6
2,1,1.6.B3
2,1,1.13.G5
2,1,1.6.D3
2,1,1.14.G1
2,1,1.11.H3
2,1,1.6.F4
2,1,1.12.F5
2,1,1.5.A4
2,1,1.9.G3
2,1,1.14.A2
2,1,1.9.B5
2,1,1.13.G1
2,1,1.9.A2
2,1,1.2.G1
2,1,1.2.D1
2,1,1.10.C3
2,1,1.10.E1
2,1,1.7.G6
2,1,1.8.C4
2,1,1.1.A1
2,1,1.1.C3
2,1,1.1.G3
2,1,1.7.G1
2,1,1.10.D1
2,1,1.3.F2
2,1,1.12.C2
2,1,1.1.E6
2,1,1.7.G4
2,1,1.4.H6
2,1,1.4.D1
2,1,1.14.B2
2,1,1.13.G3
2,1,1.6.D6
2,1,1.14.F2
2,1,1.2.B3
2,1,1.7.A3
2,1,1.1.A6
2,1,1.6.G5
2,1,1.3.H2
2,1,1.12.F2
2,1,1.11.A6
2,1,1.5.C4
2,1,1.9.G4
2,1,1.4.A3
2,1,1.4.A5
2,1,1.6.F2
2,1,1.13.C3
2,1,1.6.G3
2,1,1.7.B6
2,1,1.7.D1
2,1,1.3.H4
2,1,1.11.A4
2,1,1.10.D4
2,1,1.2.C2
2,1,1.5.D1
2,1,1.6.B4
2,1,1.8.C1
2,1,1.7.H6
2,1,1.2.D3
2,1,1.7.F1
2,1,1.5.H6
2,2,1.8.F2
2,2,1.5.C6
2,2,1.2.D5
2,2,1.13.B4
2,2,1.13.F2
2,2,1.1.B5
2,2,1.8.B6
2,2,1.6.B2
2,2,1.13.B1
2,2,1.11.E1
2,2,1.6.A3
2,2,1.13.C4
2,2,1.4.E4
2,2,1.8.H1
2,2,1.11.F1
2,2,1.4.E2
2,2,1.11.B5
2,2,1.10.E3
2,2,1.2.C6
2,2,1.2.A3
2,2,1.13.D6
2,2,1.2.H4
2,2,1.13.F4
2,2,1.10.E2
2,2,1.2.G3
2,2,1.6.E5
2,2,1.10.D6
2,2,1.3.A6
2,2,1.13.F5
2,2,1.11.C4
2,2,1.10.E5
2,2,1.11.H1
2,2,1.3.D1
2,2,1.9.D1
2,2,1.1.G2
2,2,1.3.G3
2,2,1.3.C6
2,2,1.9.D4
2,2,1.3.H1
2,2,1.12.E1
2,2,1.2.H2
2,2,1.6.F3
2,2,1.12.C5
2,2,1.2.A1
2,2,1.9.G2
2,2,1.4.F1
2,2,1.13.A4
2,2,1.5.B3
2,2,1.10.A1
2,2,1.6.H1
2,2,1.2.E5
2,2,1.3.C5
2,2,1.1.G4
2,2,1.3.F6
2,2,1.9.C2
2,2,1.3.E1
2,2,1.5.E1
2,2,1.9.A6
2,2,1.14.D1
2,2,1.8.C6
2,2,1.4.H1
2,2,1.12.H4
2,2,1.10.F5
2,2,1.5.C5
2,2,1.9.F6
2,2,1.8.A3
2,2,1.3.A4
2,2,1.1.A4
2,2,1.11.F4
2,2,1.8.D3
2,2,1.13.B6
2,2,1.14.H1
2,2,1.4.B2
2,2,1.11.C5
2,2,1.13.A6
2,2,1.12.B3
2,2,1.2.B2
2,2,1.6.C2
2,2,1.8.H4
2,2,1.11.A5
2,2,1.13.A1
2,2,1.9.A3
2,3,1.7.H4
2,3,1.13.D3
2,3,1.6.D1
2,3,1.8.F6
2,3,1.10.H5
2,3,1.4.D3
2,3,1.10.F2
2,3,1.12.G1
2,3,1.7.F2
2,3,1.1.E2
2,3,1.8.E3
2,3,1.5.B1
2,3,1.9.E3
2,3,1.2.A6
2,3,1.4.E1
2,3,1.1.F3
2,3,1.10.D3
2,3,1.9.H1
2,3,1.3.A3
2,3,1.10.B5
2,3,1.12.G4
2,3,1.9.B6
2,3,1.13.H3
2,3,1.8.A1
2,3,1.5.G5
2,3,1.6.H3
2,3,1.13.H2
2,3,1.11.C2
2,3,1.13.C5
2,3,1.10.A6
2,3,1.1.A2
2,3,1.1.B2
2,3,1.7.E6
2,3,1.12.H2
2,3,1.4.H5
2,3,1.13.F3
2,3,1.5.E3
2,3,1.2.A4
2,3,1.4.C5
2,3,1.13.E6
2,3,1.10.G5
2,3,1.8.E6
2,3,1.5.D5
2,3,1.12.E2
2,3,1.11.F2
2,3,1.7.B1
2,3,1.12.B2
2,3,1.10.D5
2,3,1.3.B1
2,3,1.8.B4
2,3,1.12.B5
2,3,1.13.B2
2,3,1.11.H5
2,3,1.13.E5
2,3,1.13.C6
2,3,1.10.B6
2,3,1.13.C2
2,3,1.7.D2
2,3,1.10.G2
2,3,1.2.H3
2,3,1.3.B3
2,3,1.9.C5
2,3,1.6.G4
2,3,1.8.H6
2,3,1.10.G1
2,3,1.4.H3
2,3,1.6.E3
2,3,1.6.E1
2,3,1.12.C1
2,3,1.12.F1
2,3,1.9.E4
2,3,1.10.F4
3,1,2.16.F3
3,1,2.15.C2
3,1,2.25.C5
3,1,2.21.G4
3,1,2.22.H5
3,1,2.20.B5
3,1,2.22.E6
3,1,2.25.D3
3,1,2.16.F6
3,1,2.19.E6
3,1,2.23.D1
3,1,2.21.F5
3,1,2.21.C5
3,1,2.21.C2
3,1,2.16.C2
3,1,2.19.G3
3,1,2.19.A4
3,1,2.22.E3
3,1,2.16.B5
3,1,2.25.E2
3,1,2.17.E1
3,1,2.23.H4
3,1,2.28.D1
3,1,2.24.E3
3,1,2.18.A2
3,1,2.19.E3
3,1,2.27.A5
3,1,2.20.B1
3,1,2.17.A3
3,1,2.18.F6
3,1,2.27.F4
3,1,2.20.D5
3,1,2.21.C1
3,1,2.26.D3
3,1,2.16.E2
3,1,2.16.G4
3,1,2.25.F4
3,1,2.23.B2
3,1,2.26.D5
3,1,2.25.B4
3,1,2.22.C4
3,1,2.21.E5
3,1,2.20.F6
3,1,2.16.H2
3,1,2.15.A2
3,1,2.18.F4
3,1,2.20.C1
3,1,2.23.A6
3,1,2.19.F4
3,1,2.27.C2
3,1,2.18.E4
3,1,2.26.D2
3,1,2.26.A3
3,1,2.23.F1
3,1,2.21.A5
3,1,2.27.D6
3,1,2.24.D5
3,1,2.20.F5
3,1,2.18.F1
3,1,2.27.H4
3,1,2.16.D4
3,1,2.26.C5
3,1,2.18.C1
3,1,2.26.H5
3,1,2.22.H1
3,1,2.26.C4
3,1,2.28.B1
3,1,2.27.A2
3,1,2.15.C6
3,1,2.18.B6
3,1,2.24.E5
3,1,2.18.E2
3,1,2.17.A2
3,1,2.22.F3
3,1,2.26.A1
3,1,2.21.A2
3,1,2.27.E5
3,1,2.16.C3
3,1,2.21.H6
3,2,2.27.E3
3,2,2.27.C4
3,2,2.19.A5
3,2,2.20.D1
3,2,2.19.E4
3,2,2.26.E1
3,2,2.17.C4
3,2,2.23.F4
3,2,2.24.D1
3,2,2.17.E3
3,2,2.25.A2
3,2,2.16.B6
3,2,2.25.B6
3,2,2.20.E3
3,2,2.15.E2
3,2,2.19.D4
3,2,2.19.G1
3,2,2.27.E4
3,2,2.23.E6
3,2,2.24.E6
3,2,2.19.H3
3,2,2.16.H1
3,2,2.17.B3
3,2,2.15.F1
3,2,2.27.H6
3,2,2.18.A3
3,2,2.25.G6
3,2,2.19.B6
3,2,2.19.B2
3,2,2.24.A2
3,2,2.27.F3
3,2,2.19.C5
3,2,2.23.H6
3,2,2.17.B4
3,2,2.22.D1
3,2,2.27.C1
3,2,2.16.E1
3,2,2.17.F4
3,2,2.28.E3
3,2,2.19.G2
3,2,2.20.F2
3,2,2.16.A2
3,2,2.16.G5
3,2,2.24.H4
3,2,2.27.H2
3,2,2.25.D2
3,2,2.26.A1
3,2,2.21.C4
3,2,2.17.C1
3,2,2.15.D5
3,2,2.15.A5
3,2,2.22.E4
3,2,2.18.F2
3,2,2.22.G5
3,2,2.24.G4
3,2,2.15.G5
3,2,2.24.F1
3,2,2.21.A1
3,2,2.25.G3
3,2,2.24.C4
3,2,2.19.E2
3,2,2.27.C6
3,2,2.20.E1
3,2,2.25.E6
3,2,2.24.A1
3,2,2.15.F2
3,2,2.23.E2
3,2,2.27.H3
3,2,2.25.A5
3,2,2.19.D2
3,2,2.19.C3
3,2,2.22.D4
3,2,2.20.H4
3,2,2.24.G1
3,2,2.23.D3
3,2,2.19.H6
3,2,2.22.C6
3,2,2.19.B5
3,2,2.23.E1
3,2,2.16.C5
3,2,2.16.E6
3,2,2.25.H5
3,2,2.15.E6
3,2,2.18.C6
3,3,2.20.D4
3,3,2.20.A6
3,3,2.15.F4
3,3,2.27.B3
3,3,2.19.A2
3,3,2.22.A4
3,3,2.16.E5
3,3,2.20.H2
3,3,2.23.H1
3,3,2.23.B4
3,3,2.22.E5
3,3,2.16.D2
3,3,2.21.A4
3,3,2.22.D6
3,3,2.16.G3
3,3,2.25.H1
3,3,2.24.A3
3,3,2.20.E4
3,3,2.26.D4
3,3,2.22.A6
3,3,2.24.D3
3,3,2.21.E1
3,3,2.23.G3
3,3,2.25.C3
3,3,2.20.E2
3,3,2.15.E3
3,3,2.25.A3
3,3,2.16.A5
3,3,2.18.H1
3,3,2.20.F3
3,3,2.21.B4
3,3,2.28.D2
3,3,2.23.D5
3,3,2.17.C2
3,3,2.21.H5
3,3,2.18.C2
3,3,2.20.E6
3,3,2.23.E5
3,3,2.25.E4
3,3,2.27.A3
3,3,2.18.D5
3,3,2.17.F2
3,3,2.22.F5
3,3,2.25.E5
3,3,2.17.H1
3,3,2.19.G4
3,3,2.16.B3
3,3,2.22.D3
3,3,2.28.C3
3,3,2.25.E3
3,3,2.27.F1
3,3,2.26.A5
3,3,2.22.A1
3,3,2.27.E6
3,3,2.15.G2
3,3,2.15.B6
3,3,2.24.G3
3,3,2.24.H6
3,3,2.19.G5
3,3,2.27.C3
3,3,2.19.G6
3,3,2.25.B5
3,3,2.28.F2
3,3,2.15.C4
3,3,2.18.B2
3,3,2.28.H3
3,3,2.18.D4
3,3,2.26.B2
3,3,2.23.G4
3,3,2.22.C3
3,3,2.25.B1
3,3,2.20.H1
3,3,2.27.G3
3,3,2.15.D3
3,3,2.15.C3
3,3,2.28.D3
3,3,2.15.F3
3,3,2.17.G4
3,3,2.22.B4
3,3,2.25.A1
3,3,2.22.C2
3,3,2.15.D4
3,3,2.17.A5
3,4,2.20.C5
3,4,2.23.C3
3,4,2.15.G4
3,4,2.26.E6
3,4,2.23.H5
3,4,2.16.A1
3,4,2.21.D4
3,4,2.26.A6
3,4,2.22.G2
3,4,2.24.F4
3,4,2.15.A4
3,4,2.16.C6
3,4,2.20.H6
3,4,2.18.G4
3,4,2.17.D1
3,4,2.25.C2
3,4,2.26.B4
3,4,2.21.C6
3,4,2.21.F1
3,4,2.15.A6
3,4,2.26.G2
3,4,2.27.H1
3,4,2.15.A3
3,4,2.17.C3
3,4,2.23.C4
3,4,2.24.F3
3,4,2.26.F3
3,4,2.20.D2
3,4,2.19.B3
3,4,2.22.C5
3,4,2.15.B3
3,4,2.25.G2
3,4,2.19.E5
3,4,2.21.E2
3,4,2.25.G5
3,4,2.19.G1
3,4,2.26.B5
3,4,2.19.B4
3,4,2.20.C3
3,4,2.22.E2
3,4,2.22.A5
3,4,2.18.B1
3,4,2.25.H3
3,4,2.21.B5
