date_to_10C,plate,row,col,sample,date_flowering,FT10
13/04/2022,1,A,1,6243x6180 F8 rep2,20/06/2022,68
13/04/2022,1,B,1,9413x8423 F8 rep2,28/06/2022,76
13/04/2022,1,C,1,9404x9390 F8 rep2,25/06/2022,73
13/04/2022,1,D,1,1257x8334 F8 rep2,29/06/2022,77
13/04/2022,1,E,1,6017x9392 F8 rep1,27/06/2022,75
13/04/2022,1,F,1,5865x8426 F8 rep2,18/06/2022,66
13/04/2022,1,G,1,1062x6108 F8 rep2,14/06/2022,62
13/04/2022,1,H,1,6039x5835 F8 rep1,27/06/2022,75
13/04/2022,1,A,2,8230x6195 F8 rep1,21/06/2022,69
13/04/2022,1,B,2,1063x1435 F8 rep2,15/06/2022,63
13/04/2022,1,C,2,9412x6024 F8 rep2,27/06/2022,75
13/04/2022,1,D,2,6041x6153 F8 rep1,26/06/2022,74
13/04/2022,1,E,2,9321x6189 F8 rep2,26/05/2022,43
13/04/2022,1,F,2,8230x6195 F8 rep2,14/06/2022,62
13/04/2022,1,G,2,8231x8386 F8 rep1,27/06/2022,75
13/04/2022,1,H,2,6195x1074 F8 rep2,17/06/2022,65
13/04/2022,1,A,3,9413x8423 F8 rep1,20/06/2022,68
13/04/2022,1,B,3,6243x6180 F8 rep1,15/06/2022,63
13/04/2022,1,C,3,9343x8259 F8 rep2,23/06/2022,71
13/04/2022,1,D,3,8222x6243 F8 rep2,25/06/2022,73
13/04/2022,1,E,3,1435x6240 F8 rep2,27/06/2022,75
13/04/2022,1,F,3,6197x6127 F8 rep1,28/06/2022,76
13/04/2022,1,G,3,8426x6193 F8 rep2,24/06/2022,72
13/04/2022,1,H,3,6189x6220 F8 rep1,28/06/2022,76
13/04/2022,1,A,4,8256x8376 F8 rep1,29/06/2022,77
13/04/2022,1,B,4,8283x9471 F8 rep2,28/06/2022,76
13/04/2022,1,C,4,8283x9471 F8 rep1,30/06/2022,78
13/04/2022,1,D,4,8258x6115 F8 rep2,30/06/2022,78
13/04/2022,1,E,4,8387x6238 F8 rep1,30/06/2022,78
13/04/2022,1,F,4,5829x9336 F8 rep2,30/06/2022,78
13/04/2022,1,G,4,9380x1063 F8 rep1,30/06/2022,78
13/04/2022,1,H,4,5829x9336 F8 rep1,24/06/2022,72
13/04/2022,1,A,5,6017x9392 F8 rep2,01/07/2022,79
13/04/2022,1,B,5,6192x1062 F8 rep2,03/07/2022,81
13/04/2022,1,C,5,9404x9390 F8 rep1,03/07/2022,81
13/04/2022,1,D,5,6038x6039 F8 rep2,01/07/2022,79
13/04/2022,1,E,5,5835x9058 F8 rep2,05/07/2022,83
13/04/2022,1,F,5,6192x1062 F8 rep1,04/07/2022,82
13/04/2022,1,G,5,8386x6241 F8 rep1,02/07/2022,80
13/04/2022,1,H,5,6105x5829 F8 rep2,04/07/2022,82
13/04/2022,1,A,6,6193x6133 F8 rep2,02/07/2022,80
13/04/2022,1,B,6,9470x6107 F8 rep1,01/07/2022,79
13/04/2022,1,C,6,9399x6097 F8 rep1,04/07/2022,82
13/04/2022,1,D,6,1367x8256 F8 rep2,01/07/2022,79
13/04/2022,1,E,6,6193x6133 F8 rep1,01/07/2022,79
13/04/2022,1,F,6,1063x1435 F8 rep1,01/07/2022,79
13/04/2022,1,G,6,8423x8240 F8 rep1,03/07/2022,81
13/04/2022,1,H,6,9437x6197 F8 rep2,02/07/2022,80
13/04/2022,1,A,7,6231x6039 F8 rep1,3/7/2022,81
13/04/2022,1,B,7,9057x9382 F8 rep1,06/07/2022,84
13/04/2022,1,C,7,6191x6965 F8 rep1,06/07/2022,84
13/04/2022,1,D,7,8256x8376 F8 rep2,07/07/2022,85
13/04/2022,1,E,7,8426x6193 F8 rep1,07/07/2022,85
13/04/2022,1,F,7,9390x8283 F8 rep2,03/07/2022,81
13/04/2022,1,G,7,6193x9394 F8 rep2,07/07/2022,85
13/04/2022,1,H,7,8386x6241 F8 rep2,04/07/2022,82
13/04/2022,1,A,8,1257x8334 F8 rep1,05/07/2022,83
13/04/2022,1,B,8,6108x6192 F8 rep2,02/07/2022,80
13/04/2022,1,C,8,6030x992 F8 rep2,05/07/2022,83
13/04/2022,1,D,8,8241x1137 F8 rep2,06/07/2022,84
13/04/2022,1,E,8,6040x6041 F8 rep1,07/07/2022,85
13/04/2022,1,F,8,8240x6036 F8 rep2,08/07/2022,86
13/04/2022,1,G,8,6138x6122 F8 rep1,08/07/2022,86
13/04/2022,1,H,8,6039x5835 F8 rep2,08/07/2022,86
13/04/2022,1,A,9,6189x6220 F8 rep2,12/07/2022,90
13/04/2022,1,B,9,6030x992 F8 rep1,10/07/2022,88
13/04/2022,1,C,9,9412x6024 F8 rep1,11/07/2022,89
13/04/2022,1,D,9,8222x6243 F8 rep1,11/07/2022,89
13/04/2022,1,E,9,9391x5867 F8 rep2,09/07/2022,87
13/04/2022,1,F,9,8423x8240 F8 rep2,08/07/2022,86
13/04/2022,1,G,9,9336x6220 F8 rep1,10/07/2022,88
13/04/2022,1,H,9,7519x6111 F8 rep2,12/07/2022,90
13/04/2022,1,A,10,6128x9413 F8 rep1,12/07/2022,90
13/04/2022,1,B,10,9380x1063 F8 rep2,08/07/2022,86
13/04/2022,1,C,10,6974x6198 F8 rep2,09/07/2022,87
13/04/2022,1,D,10,Aa1xAa2 F8 rep1,12/07/2022,90
13/04/2022,1,E,10,1585x9427 F8 rep2,09/07/2022,87
13/04/2022,1,F,10,5865x8426 F8 rep1,09/07/2022,87
13/04/2022,1,G,10,1367x8256 F8 rep1,09/07/2022,87
13/04/2022,1,H,10,9437x6197 F8 rep1,08/07/2022,86
13/04/2022,1,A,11,6191x6965 F8 rep2,13/07/2022,91
13/04/2022,1,B,11,6013x8241 F8 rep1,16/07/2022,94
13/04/2022,1,C,11,8258x6115 F8 rep1,15/07/2022,93
13/04/2022,1,D,11,8240x6036 F8 rep1,13/07/2022,91
13/04/2022,1,E,11,8231x8386 F8 rep2,13/07/2022,91
13/04/2022,1,F,11,8307x9481 F8 rep2,15/07/2022,93
13/04/2022,1,G,11,8241x1137 F8 rep1,14/07/2022,92
13/04/2022,1,H,11,9421x8256 F8 rep1,15/07/2022,93
13/04/2022,1,A,12,8259x6217 F8 rep2,18/07/2022,96
13/04/2022,1,B,12,6194x1061 F8 rep2,14/07/2022,92
13/04/2022,1,C,12,6197x6127 F8 rep2,16/07/2022,94
13/04/2022,1,D,12,6194x1061 F8 rep1,14/07/2022,92
13/04/2022,1,E,12,6173x9383 F8 rep2,18/07/2022,96
13/04/2022,1,F,12,8334x8231 F8 rep1,14/07/2022,92
13/04/2022,1,G,12,6046x6191 F8 rep2,13/07/2022,91
13/04/2022,1,H,12,6105x5829 F8 rep1,18/07/2022,96
13/04/2022,2,A,1,5830x6085 F8 rep2,13/07/2022,91
13/04/2022,2,B,1,6011x6017 F8 rep2,15/07/2022,93
13/04/2022,2,C,1,6241x1552 F8 rep2,12/07/2022,90
13/04/2022,2,D,1,6148x6138 F8 rep1,13/07/2022,91
13/04/2022,2,E,1,6240x5831 F8 rep2,18/07/2022,96
13/04/2022,2,F,1,6244x6173 F8 rep2,18/07/2022,96
13/04/2022,2,G,1,6284x5830 F8 rep2,17/07/2022,95
13/04/2022,2,H,1,6133x6020 F8 rep1,17/07/2022,95
13/04/2022,2,A,2,6166x7519 F8 rep2,11/07/2022,89
13/04/2022,2,B,2,175x6913 F8 rep1,16/07/2022,94
13/04/2022,2,C,2,997x8307 F8 rep1,13/07/2022,91
13/04/2022,2,D,2,1254x6076 F8 rep1,10/07/2022,88
13/04/2022,2,E,2,1318x6035 F8 rep1,17/07/2022,95
13/04/2022,2,F,2,8387x6238 F8 rep2,18/07/2022,96
13/04/2022,2,G,2,1254x6076 F8 rep2,15/07/2022,93
13/04/2022,2,H,2,9388x9057 F8 rep1,14/07/2022,92
13/04/2022,2,A,3,9407x6040 F8 rep2,15/07/2022,93
13/04/2022,2,B,3,6284x5830 F8 rep1,17/07/2022,95
13/04/2022,2,C,3,9390x8283 F8 rep1,18/07/2022,96
13/04/2022,2,D,3,9407x6040 F8 rep1,14/07/2022,92
13/04/2022,2,E,3,9421x8256 F8 rep2,11/07/2022,89
13/04/2022,2,F,3,9409x6104 F8 rep1,15/07/2022,93
13/04/2022,2,G,3,9434x6177 F8 rep2,16/07/2022,94
13/04/2022,2,H,3,9427x8387 F8 rep1,08/07/2022,86
13/04/2022,2,A,4,6034x6231 F8 rep1,20/07/2022,98
13/04/2022,2,B,4,991x6210 F8 rep2,18/07/2022,96
13/04/2022,2,C,4,6041x6153 F8 rep2,20/07/2022,98
13/04/2022,2,D,4,6094x9369 F8 rep1,20/07/2022,98
13/04/2022,2,E,4,6109x9343 F8 rep1,14/07/2022,92
13/04/2022,2,F,4,6035x9433 F8 rep2,16/07/2022,94
13/04/2022,2,G,4,6036x1318 F8 rep1,16/07/2022,94
13/04/2022,2,H,4,8307x9481 F8 rep1,20/07/2022,98
13/04/2022,2,A,5,6134x6013 F8 rep2,20/07/2022,98
13/04/2022,2,B,5,6137x5867 F8 rep1,19/07/2022,97
13/04/2022,2,C,5,6913x6149 F8 rep2,20/07/2022,98
13/04/2022,2,D,5,1137x6237 F8 rep1,20/07/2022,98
13/04/2022,2,E,5,6203x9321 F8 rep2,19/07/2022,97
13/04/2022,2,F,5,1137x6237 F8 rep2,19/07/2022,97
13/04/2022,2,G,5,6198x6118 F8 rep1,19/07/2022,97
13/04/2022,2,H,5,6166x7519 F8 rep1,20/07/2022,98
13/04/2022,2,A,6,9392x6073 F8 rep2,21/07/2022,99
13/04/2022,2,B,6,9471x9450 F8 rep2,22/07/2022,100
13/04/2022,2,C,6,9453x6106 F8 rep1,22/07/2022,100
13/04/2022,2,D,6,6023x9380 F8 rep1,21/07/2022,99
13/04/2022,2,E,6,6019x6012 F8 rep1,21/07/2022,99
13/04/2022,2,F,6,6012x997 F8 rep1,21/07/2022,99
13/04/2022,2,G,6,6177x6023 F8 rep1,21/07/2022,99
13/04/2022,2,H,6,6145x8247 F8 rep1,22/07/2022,100
13/04/2022,2,A,7,6145x8247 F8 rep2,21/07/2022,99
13/04/2022,2,B,7,6013x8241 F8 rep2,21/07/2022,99
13/04/2022,2,C,7,992x9332 F8 rep2,21/07/2022,99
13/04/2022,2,D,7,6217x6126 F8 rep2,22/07/2022,100
13/04/2022,2,E,7,6244x6173 F8 rep1,21/07/2022,99
13/04/2022,2,F,7,6255x6136 F8 rep1,21/07/2022,99
13/04/2022,2,G,7,9356x6094 F8 rep2,21/07/2022,99
13/04/2022,2,H,7,9381x6198 F8 rep2,21/07/2022,99
13/04/2022,2,A,8,6021x9407 F8 rep2,24/07/2022,102
13/04/2022,2,B,8,6019x6012 F8 rep2,24/07/2022,102
13/04/2022,2,C,8,6064x9404 F8 rep1,25/07/2022,103
13/04/2022,2,D,8,6046x6191 F8 rep1,22/07/2022,100
13/04/2022,2,E,8,6043x9453 F8 rep1,25/07/2022,103
13/04/2022,2,F,8,6126x6172 F8 rep2,25/07/2022,103
13/04/2022,2,G,8,6104x6034 F8 rep2,24/07/2022,102
13/04/2022,2,H,8,9471x9450 F8 rep1,23/07/2022,101
13/04/2022,2,A,9,9450x9356 F8 rep1,25/07/2022,103
13/04/2022,2,B,9,6173x9383 F8 rep1,23/07/2022,101
13/04/2022,2,C,9,6172x6148 F8 rep2,24/07/2022,102
13/04/2022,2,D,9,6202x9402 F8 rep2,23/07/2022,101
13/04/2022,2,E,9,6202x9402 F8 rep1,25/07/2022,103
13/04/2022,2,F,9,6201x9399 F8 rep1,24/07/2022,102
13/04/2022,2,G,9,6138x6122 F8 rep2,23/07/2022,101
13/04/2022,2,H,9,1435x6240 F8 rep1,24/07/2022,102
13/04/2022,2,A,10,6151x9408 F8 rep2,25/07/2022,103
13/04/2022,2,B,10,6150x6218 F8 rep2,23/07/2022,101
13/04/2022,2,C,10,9343x8259 F8 rep1,22/07/2022,100
13/04/2022,2,D,10,6965x9412 F8 rep2,24/07/2022,102
13/04/2022,2,E,10,9356x6094 F8 rep1,25/07/2022,103
13/04/2022,2,F,10,9336x6220 F8 rep2,23/07/2022,101
13/04/2022,2,G,10,6918x9323 F8 rep2,24/07/2022,102
13/04/2022,2,H,10,8237x6194 F8 rep1,24/07/2022,102
13/04/2022,2,A,11,Aa1xAa2 F8 rep2,25/07/2022,103
13/04/2022,2,B,11,997x8307 F8 rep2,25/07/2022,103
13/04/2022,2,C,11,9381x6198 F8 rep1,21/07/2022,99
13/04/2022,2,D,11,6142x7517 F8 rep2,23/07/2022,101
13/04/2022,2,E,11,6142x7517 F8 rep1,25/07/2022,103
13/04/2022,2,F,11,9405x6100 F8 rep2,25/07/2022,103
13/04/2022,2,G,11,9386x6171 F8 rep1,25/07/2022,103
13/04/2022,2,H,11,6136x6064 F8 rep2,25/07/2022,103
13/04/2022,2,A,12,6252x6202 F8 rep2,25/07/2022,103
13/04/2022,2,B,12,9409x6104 F8 rep2,19/07/2022,97
13/04/2022,2,C,12,9391x9353 F8 rep1,23/07/2022,101
13/04/2022,2,D,12,6237x6090 F8 rep2,24/07/2022,102
13/04/2022,2,E,12,6070x6019 F8 rep2,25/07/2022,103
13/04/2022,2,F,12,6122x6252 F8 rep2,25/07/2022,103
13/04/2022,2,G,12,5831x8237 F8 rep2,25/07/2022,103
13/04/2022,2,H,12,5835x9058 F8 rep1,22/07/2022,100
13/04/2022,3,A,1,9392x6073 F8 rep1,26/07/2022,104
13/04/2022,3,B,1,1002x6244 F8 rep2,23/07/2022,101
13/04/2022,3,C,1,175x6913 F8 rep2,26/07/2022,104
13/04/2022,3,D,1,1002x6244 F8 rep1,24/07/2022,102
13/04/2022,3,E,1,5856x9452 F8 rep2,26/07/2022,104
13/04/2022,3,F,1,1585x9427 F8 rep1,26/07/2022,104
13/04/2022,3,G,1,9427x8387 F8 rep2,26/07/2022,104
13/04/2022,3,H,1,9451x9437 F8 rep1,26/07/2022,104
13/04/2022,3,A,2,9323x8369 F8 rep1,25/07/2022,103
13/04/2022,3,B,2,6020x6030 F8 rep1,27/07/2022,105
13/04/2022,3,C,2,8351x6150 F8 rep1,27/07/2022,105
13/04/2022,3,D,2,5856x9452 F8 rep1,27/07/2022,105
13/04/2022,3,E,2,6136x6064 F8 rep1,27/07/2022,105
13/04/2022,3,F,2,8334x8231 F8 rep2,27/07/2022,105
13/04/2022,3,G,2,6094x9369 F8 rep2,28/07/2022,106
13/04/2022,3,H,2,6036x6203 F8 rep1,27/07/2022,105
13/04/2022,3,A,3,6040x6041 F8 rep2,27/07/2022,105
13/04/2022,3,B,3,6036x1318 F8 rep2,28/07/2022,106
13/04/2022,3,C,3,7517x6284 F8 rep2,27/07/2022,105
13/04/2022,3,D,3,7517x6284 F8 rep1,26/07/2022,104
13/04/2022,3,E,3,9481x9399 F8 rep2,28/07/2022,106
13/04/2022,3,F,3,9450x9356 F8 rep2,27/07/2022,105
13/04/2022,3,G,3,6086x8222 F8 rep1,26/07/2022,104
13/04/2022,3,H,3,6238x6105 F8 rep1,27/07/2022,105
